Endeavor,Description,Tips and Notes
"Loot [1, 2, 3, 4] Treasure Chest(s)",Loot treasure chests throughout Tamriel to complete this endeavor.,
"Mine [2, 5, 8, 12] Jewel Seams",Mine Jewelry Crafting resources from seams of jewel-producing ores to complete this endeavor. Learn this delicate art through the Summerset Chapter.,
"Mine [2, 5, 8, 12] Veins of Ore",Mine Blacksmithing resources from ore veins to complete this endeavor.,
"Obtain [1, 2, 3, 4] verses in the Infinite Archive",Obtain verses in the Infinite Archive to complete this endeavor.,
"Pick [2, 3, 5] Locks",Pick locked doors and chests to complete this endeavor.,
"Pickpocket [3, 6, 10, 12, 15] Items",Pickpocket items from the citizens of Tamriel to complete this endeavor.,
"Place [3, 5, 7, 10, 12] Furnishings",Place furnishings from any category in a home you own to complete this endeavor.,
"Place [2, 3, 4] Conservatory Furnishings",Place furnishings from the Conservatory category in a home you own to complete this endeavor.,
"Place [2, 3, 4] Courtyard Furnishings",Place furnishings from the Courtyard category in a home you own to complete this endeavor.,
"Place [2, 3] Dining Room Furnishings",Place furnishings from the Dining Room category in a home you own to complete this endeavor.,
"Place [2, 3, 5] Gallery Furnishings",Place furnishings from the Gallery category in a home you own to complete this endeavor.,
"Place [1, 2, 3] Hearth Furnishing(s)",Place furnishings from the Hearth category in a home you own to complete this endeavor.,
"Place [2, 4] Library Furnishings",Place furnishings from the Library category in a home you own to complete this endeavor.,
"Place [2, 3] Lighting Furnishings",Place furnishings from the Lighting category in a home you own to complete this endeavor.,
Place 2 Parlor Furnishings,Place furnishings from the Parlor category in a home you own to complete this endeavor.,
Place 2 Structure Furnishings,Place furnishings from the Structure category in a home you own to complete this endeavor.,
Place 2 Suite Furnishings,Place furnishings from the Suite category in a home you own to complete this endeavor.,
Place 2 Undercroft Furnishings,Place furnishings from the Undercroft category in a home you own to complete this endeavor.,
"Place [2, 3, 4] Workshop Furnishings",Place furnishings from the Workshop category in a home you own to complete this endeavor.,
Purchase 1 Item from Guild Traders,Purchase items from any Guild Trader to complete this endeavor. Guild Traders can be found in most major cities.,
"Read [1, 2, 3] Lore Book(s)",Read Books found in the world (not your Lore Library) to complete this endeavor.,
"Recharge [1, 2, 3] Weapon Enchantment(s)",Recharge weapon enchantments with soul gems to complete this endeavor.,
"Refine Raw Materials [2, 5, 8, 12, 15] Times",Refine raw materials at their associated crafting station to complete this endeavor. Crafting stations can be found in most major cities.,
"Repair [5000, 7500, 10000, 12500] Damage to Structures in Cyrodiil",Use Door and Wall Repair Kits on structures in Cyrodiil to complete this endeavor.,
"Revive [1, 2] Fallen Player(s)",Revive players to complete this activity. Reviving yourself does not count towards this goal.,
"Sell [10, 15, 20, 25, 30] Items to Merchants",Sell items to legitimate merchants (not fences) to complete this endeavor.,
Spend 2000 Archival Fortunes in the Infinite Archive,Buy items with Archival Fortunes from the vendors in the Infinite Archive to complete this endeavor.,
"Steal [5, 10, 15, 20] Items from the environment","Steal items from crates, baskets, shelves, and similar places to complete this endeavor.",
Update an Outfit 1 Time,Update an Outfit to complete this activity. Outfit stations can be found in most major cities.,
"Use Emotes [1, 2] Time(s)",Use Emotes to complete this endeavor.,
"Use Mementos [1, 2, 3, 4, 5] Time(s)",Use Mementos to complete this endeavor.,
"Use Ultimate Skills [1, 2, 3, 4, 5] Time(s)",Unleash Ultimate Skills to complete this endeavor.,
"Visit [2, 3] Player Homes",Visit player homes to complete this endeavor.,
